uid,uid1,uid2,uid3,uid4,uid5,uid6,uid7,uid8,uid9,uid10
2752,4053,2563,33190,35075,302,9963,37985,35320,33323,38422
995,35382,1366,6768,6467,31973,13767,37514,1506,19123,12069
16395,1695,1729,4772,29893,21469,2076,388,11001,851,11239
339,28297,9513,790,33489,37675,32995,35073,14713,23199,14075
15689,31339,33489,35968,23199,35120,1943,339,9513,2759,28297
1089,30745,7720,1914,1505,569,29755,2449,34504,31973,4447
40211,39231,2480,40212,35854,40137,39526,40403,2936,3645,4802
7711,21647,15039,387,16001,9941,4901,28725,25879,14353,10521
10080,9656,27989,35968,1943,31339,21855,27831,15689,35507,30123
27989,21855,27831,10080,36563,9656,5682,24,31741,12445,17549
7338,268,2924,73,31173,16,6211,1530,387,12477,33926
15,22,31251,5678,37786,4814,13331,846,416,12113,5781
66,31741,5682,4059,17549,36563,29095,24,9289,10721,36896
11113,77,25161,81,6586,8740,535,39468,793,4918,26123
2154,4672,39565,996,2159,25649,1088,957,14807,28,658
28297,339,9513,32995,37675,790,33489,14075,14713,2034,35073
30885,29093,37435,9926,4789,4280,18179,3167,34626,597,8408
31251,13331,4814,416,37786,5678,5781,37435,8408,12113,846
33489,15689,23199,31339,339,9513,28297,35968,37675,14713,35120
416,4814,5678,37786,12113,846,31251,13331,10012,5781,31174
5678,416,4814,37786,12113,846,31251,13331,31174,10049,10012
9996,645,18429,32122,35111,2321,6505,397,2035,10153,589
645,9996,18429,32122,35111,2321,6505,397,10153,2035,34021
21877,2952,4106,153,22961,114,12031,7465,186,6421,11123
122,24997,30279,967,31490,31098,187,1566,39565,22097,25517
35968,31339,15689,1943,33489,23199,10080,35120,2759,9656,35507
77,11113,25161,81,39468,535,6586,8740,793,4918,26123
31741,5682,66,36563,4059,16049,17549,36896,24,29095,21855
11739,401,6774,27663,26213,16916,12815,427,1430,15059,37989
934,227,23289,6045,849,35790,4898,28999,30015,25013,889
18661,14807,957,6171,2159,1088,5365,28,25649,4672,658
21855,27831,27989,36563,5682,31741,10080,9656,24,72,66
268,7338,73,2924,6211,16,1530,31173,33926,861,16918
401,6774,11739,27663,12815,16916,15059,37989,1430,26213,18661
29803,14813,17265,3588,14513,7054,12189,23283,15809,889,33206
24997,30279,31490,31098,122,187,22097,949,12893,10029,1566
17265,29803,14813,15809,889,14513,33206,3588,7054,30015,10620
4814,416,5678,846,37786,31251,12113,13331,31174,5781,10049
39468,8063,793,77,25161,1023,11113,26123,30415,6586,81
26213,427,11739,401,6774,27663,16916,1430,12815,37989,22507
37435,4789,29093,30885,3167,31251,9926,8408,13331,4280,21557
14075,32995,27775,32615,2034,7791,28297,8425,5681,339,22043
21647,15039,16001,7711,28725,4901,387,12477,31173,25879,16
9204,2618,429,33221,1472,2265,9563,1473,5485,36369,30952
5682,31741,66,36563,16049,21855,27831,72,4059,24,36896
10049,31174,1594,846,33161,5678,3927,12113,416,4814,2164
